iter	Logloss
0	0.6847171799
1	0.6764443278
2	0.6677609754
3	0.6613820769
4	0.6535864001
5	0.6470590225
6	0.6407578621
7	0.6334624937
8	0.6270511238
9	0.6201840506
10	0.6156118036
11	0.6098454475
12	0.6035262138
13	0.5974068253
14	0.5910680296
15	0.5859346956
16	0.5811171252
17	0.5767423061
18	0.5707510879
19	0.5652776117
20	0.5597574433
21	0.5544490164
22	0.5498422501
23	0.545616987
24	0.5410436215
25	0.5362943053
26	0.5325895343
27	0.5290562367
28	0.5262120836
29	0.5228957464
30	0.5188286447
31	0.5156687445
32	0.5113973859
33	0.5073875897
34	0.5035512493
35	0.4997963845
36	0.4966747559
37	0.4939114948
38	0.4909865144
39	0.4872202557
40	0.4835540951
41	0.4808990767
42	0.4777596115
43	0.4749631082
44	0.4727803308
45	0.4694574966
46	0.4662364926
47	0.4631599182
48	0.4600296934
49	0.4576807234
50	0.4556600205
51	0.4539197008
52	0.4521177974
53	0.4498773304
54	0.4474499565
55	0.4452345973
56	0.4431338778
57	0.4416241974
58	0.4391570963
59	0.4371126245
60	0.4347407394
61	0.4327301134
62	0.4305611395
63	0.4293967921
64	0.4276161561
65	0.4254695037
66	0.4238786896
67	0.4218924843
68	0.419880525
69	0.4185201109
70	0.4164898236
71	0.4147698274
72	0.4131587296
73	0.4116705151
74	0.4099271351
75	0.408712174
76	0.4071797774
77	0.4057373776
78	0.4042661338
79	0.4029344505
80	0.4019801508
81	0.4003455975
82	0.3994666343
83	0.3979315217
84	0.3963424336
85	0.3954717772
86	0.3943395317
87	0.3934912548
88	0.3929986664
89	0.3920982984
90	0.3907572743
91	0.3896890977
92	0.3888180115
93	0.3878762158
94	0.3867392781
95	0.3855244013
96	0.3847319185
97	0.3838030393
98	0.3830675664
99	0.3819672745
100	0.3807105064
101	0.3799063694
102	0.3790791745
103	0.3784289624
104	0.37773496
105	0.3770521507
106	0.3759394708
107	0.3748519145
108	0.3737510957
109	0.3729885627
110	0.3723176622
111	0.3717175132
112	0.3711527666
113	0.3706039464
114	0.3698665676
115	0.3692407019
116	0.3686158572
117	0.3680447022
118	0.3671935928
119	0.3663371231
120	0.3657752907
121	0.365236167
122	0.3643435679
123	0.3636693686
124	0.3631242765
125	0.3626494956
126	0.3621849151
127	0.3616589239
128	0.3611052507
129	0.3602873773
130	0.3596867308
131	0.3590064684
132	0.3585420032
133	0.3581493334
134	0.3575537211
135	0.3568209203
136	0.3564962867
137	0.356235483
138	0.3558512914
139	0.3555692395
140	0.3553343175
141	0.3552320414
142	0.3545471568
143	0.3544166001
144	0.3540887443
145	0.3536492268
146	0.3533994866
147	0.3529103556
148	0.3524784715
149	0.3520746642
150	0.3517070565
151	0.351381328
152	0.351063176
153	0.3504867847
154	0.3499818466
155	0.3495519485
156	0.3490305598
157	0.3487482796
158	0.3481910485
159	0.3480640138
160	0.3477644465
161	0.347363453
162	0.3470104956
163	0.3466364679
164	0.3463416993
165	0.3461527241
166	0.3459029756
167	0.3454617571
168	0.3451913681
169	0.345050635
170	0.3447719522
171	0.344349576
172	0.3439437665
173	0.3436872343
174	0.3432769383
175	0.3428639874
176	0.3424833234
177	0.3421916199
178	0.3419294456
179	0.3415056181
180	0.3411497494
181	0.3408640514
182	0.3405328942
183	0.3402196822
184	0.3399425093
185	0.3396832724
186	0.3394327147
187	0.3391186543
188	0.3389014339
189	0.3385779751
190	0.3383636493
191	0.3381336301
192	0.3379048722
193	0.3375704741
194	0.3372207565
195	0.3370290872
196	0.3367695654
197	0.3364946286
198	0.3362996677
199	0.3362462671
200	0.336043197
201	0.3358053541
202	0.3356368261
203	0.3353736019
204	0.335128705
205	0.3347619905
206	0.3344786197
207	0.3343652851
208	0.3342231155
209	0.3340506653
210	0.3337850163
211	0.3335646825
212	0.3333745071
213	0.3332290095
214	0.3330396374
215	0.33290209
216	0.3326556825
217	0.3324254671
218	0.3323484241
219	0.3323336308
220	0.3322331644
221	0.3320629926
222	0.3319416803
223	0.3316539174
224	0.3314426039
225	0.3313901498
226	0.3311647632
227	0.3310465322
228	0.3308325786
229	0.3307124722
230	0.3305387487
231	0.3302801078
232	0.3301246594
233	0.3298616986
234	0.3297674546
235	0.3295248058
236	0.329396053
237	0.3292407911
238	0.3291212339
239	0.3289376277
240	0.3288238501
241	0.3285933725
242	0.3284972519
243	0.3284075227
244	0.3282434276
245	0.3281253053
246	0.3279140645
247	0.3277190203
248	0.3275875892
249	0.3274416773
250	0.3273089569
251	0.3271776547
252	0.3270256715
253	0.3268399915
254	0.3266785625
255	0.3266253097
256	0.326501469
257	0.3263489586
258	0.326202056
259	0.3260786115
260	0.3260732859
261	0.3259336377
262	0.3257646174
263	0.325726652
264	0.3255770568
265	0.3254588884
266	0.3253974736
267	0.3251997832
268	0.3250493992
269	0.3249398875
270	0.3248352731
271	0.3246324941
272	0.3245602361
273	0.3243593727
274	0.3241618906
275	0.3239827991
276	0.3238012693
277	0.3237757535
278	0.3236515829
279	0.3235646556
280	0.3234530789
281	0.3233261774
282	0.3231584272
283	0.3230252268
284	0.3229751904
285	0.322853672
286	0.3227068006
287	0.3225855506
288	0.3224345345
289	0.322293421
290	0.3221719343
291	0.3219928669
292	0.3218812005
293	0.3217515107
294	0.3216863396
295	0.3216096923
296	0.3214223041
297	0.3213134054
298	0.3212314775
299	0.3211341369
300	0.3210591585
301	0.3209164349
302	0.3207945186
303	0.3207015445
304	0.3206028715
305	0.3205240687
306	0.3204115485
307	0.3203061346
308	0.3202264828
309	0.3201155495
310	0.3200223942
311	0.3198740383
312	0.3197589127
313	0.3196454202
314	0.319552594
315	0.3194540576
316	0.3193433555
317	0.3192418
318	0.3191197324
319	0.3190151672
320	0.3189446138
321	0.3188441007
322	0.3187614733
323	0.3186667691
324	0.3185254672
325	0.3184819305
326	0.3184132789
327	0.3183557857
328	0.3182602285
329	0.318180779
330	0.3180193442
331	0.3178661642
332	0.3178217777
333	0.3177350885
334	0.3176553212
335	0.3175779578
336	0.3174893308
337	0.3173847221
338	0.3173005343
339	0.3172528143
340	0.3171287369
341	0.3170220916
342	0.3169320915
343	0.316840494
344	0.3168076926
345	0.3167112958
346	0.3166322641
347	0.3165806902
348	0.3164724634
349	0.3163864073
350	0.3162558475
351	0.3161308002
352	0.3160575622
353	0.3159493446
354	0.315909897
355	0.3158506087
356	0.3157470723
357	0.3156547116
358	0.3155368436
359	0.315438591
360	0.3154293852
361	0.3153694223
362	0.3152804841
363	0.3152012757
364	0.3151395139
365	0.3150692528
366	0.3149495617
367	0.3148421415
368	0.3147406497
369	0.3146651103
370	0.3145751817
371	0.3144960684
372	0.3144156873
373	0.3142792951
374	0.3141451381
375	0.3140238451
376	0.3138991625
377	0.3137828302
378	0.3137382051
379	0.3136864882
380	0.313621794
381	0.3136150707
382	0.3135587776
383	0.3135121194
384	0.3133803815
385	0.3133694721
386	0.3132588438
387	0.3131168157
388	0.3131095115
389	0.3130538583
390	0.3129461532
391	0.3128424047
392	0.3127588568
393	0.3126421464
394	0.3126353513
395	0.3124887008
396	0.3123795815
397	0.3123733852
398	0.3123112155
399	0.3122179211
400	0.3121339023
401	0.3120703707
402	0.3119888109
403	0.3119282249
404	0.3118751968
405	0.311750224
406	0.311616118
407	0.3115353683
408	0.3114318258
409	0.3113477678
410	0.3112438256
411	0.3111456466
412	0.311025084
413	0.3109586995
414	0.3109010657
415	0.3107938349
416	0.3107053308
417	0.3105640746
418	0.3105030036
419	0.3104189626
420	0.3103078814
421	0.3102394361
422	0.3101881528
423	0.3101444881
424	0.3100613035
425	0.3099875873
426	0.3099258437
427	0.3099069526
428	0.3098599636
429	0.3098224696
430	0.3097064471
431	0.3095828496
432	0.309497836
433	0.3094157449
434	0.3093912593
435	0.3093108864
436	0.3092094909
437	0.309179582
438	0.3091340812
439	0.3090448998
440	0.3089990194
441	0.3089291582
442	0.3088551373
443	0.3087930467
444	0.3087060317
445	0.3086056666
446	0.3086056654
447	0.3086001142
448	0.3085286327
449	0.308457919
450	0.3084014319
451	0.3083320965
452	0.3082570925
453	0.3081960289
454	0.3081015925
455	0.3080582553
456	0.3080048955
457	0.3079839945
458	0.307875576
459	0.3078262797
460	0.3077715519
461	0.3076967563
462	0.307625412
463	0.3075248585
464	0.307428976
465	0.3073206875
466	0.3072713524
467	0.3071521554
468	0.3070644094
469	0.3070218243
470	0.3069147897
471	0.3068661229
472	0.3068296333
473	0.3067446104
474	0.3066623795
475	0.3066323614
476	0.306570658
477	0.3065221796
478	0.3064942908
479	0.3064179747
480	0.3063047368
481	0.3062413806
482	0.3061598363
483	0.306091259
484	0.3060850601
485	0.3060405106
486	0.3060356023
487	0.3059767793
488	0.3059184428
489	0.3058326287
490	0.3058305009
491	0.3057717362
492	0.3057126321
493	0.3056833496
494	0.3056158779
495	0.3055592017
496	0.305490211
497	0.3054273252
498	0.3054225959
499	0.3053782031
500	0.305305021
501	0.3052492224
502	0.3052016936
503	0.3051358835
504	0.3051261731
505	0.3050201726
506	0.3049962613
507	0.3049962514
508	0.3049480142
509	0.3049185523
510	0.3048589347
511	0.3047656745
512	0.3046782386
513	0.3046212675
514	0.3045604537
515	0.3044679775
516	0.3043890799
517	0.3042774635
518	0.3042024758
519	0.3041584078
520	0.3040946256
521	0.3039924627
522	0.3038656445
523	0.3037828224
524	0.3037084028
525	0.3036206607
526	0.3035425772
527	0.3034749413
528	0.3034126339
529	0.3033440133
530	0.3032740134
531	0.3032286205
532	0.3031547633
533	0.3031066364
534	0.3030555601
535	0.3030196186
536	0.3029297847
537	0.3028547974
538	0.3028071814
539	0.3027483303
540	0.3026750547
541	0.302634659
542	0.3026027288
543	0.3024954322
544	0.3024198257
545	0.302379025
546	0.3023539333
547	0.3022604171
548	0.3022191895
549	0.3021835635
550	0.3021381524
551	0.3020688318
552	0.3020432764
553	0.301973745
554	0.301954569
555	0.3019535395
556	0.3019178261
557	0.3018078377
558	0.3018032697
559	0.3017821483
560	0.3017646528
561	0.3016611263
562	0.3016102797
563	0.3015792842
564	0.3015207762
565	0.3014902231
566	0.3014238874
567	0.3013189437
568	0.3012666401
569	0.3011874707
570	0.3011378033
571	0.3010548465
572	0.3009705571
573	0.3008967076
574	0.3008812094
575	0.3008359864
576	0.3007698828
577	0.3007058353
578	0.3006823909
579	0.3006099933
580	0.3005282472
581	0.3004995344
582	0.3004953147
583	0.3004888899
584	0.3004314226
585	0.300372806
586	0.3002907132
587	0.3002719475
588	0.3001410381
589	0.3000606642
590	0.2999954469
591	0.2999091793
592	0.2998172615
593	0.2997413731
594	0.2997306218
595	0.2996668653
596	0.2995764881
597	0.2994981903
598	0.2994569562
599	0.2994043702
600	0.2993393142
601	0.2992963817
602	0.2992752632
603	0.299217217
604	0.2991677077
605	0.2991140992
606	0.2990481492
607	0.2989835378
608	0.2989361206
609	0.2988710991
610	0.2988156323
611	0.29878675
612	0.2987395729
613	0.2986693535
614	0.2986413249
615	0.2986179238
616	0.2985581628
617	0.2985058197
618	0.2984657657
619	0.2983925186
620	0.2983310936
621	0.2983269559
622	0.2982625933
623	0.2982144176
624	0.2982106307
625	0.2981620877
626	0.2981035419
627	0.2980207922
628	0.2979713982
629	0.2978766336
630	0.2978464699
631	0.2977640273
632	0.2976643421
633	0.2976497623
634	0.2975769381
635	0.2975106333
636	0.2974447556
637	0.2973868829
638	0.2973196195
639	0.2972857556
640	0.2972714426
641	0.2972324199
642	0.29720296
643	0.2971474879
644	0.2971377805
645	0.2970958287
646	0.2970237405
647	0.2969988979
648	0.2969427738
649	0.2969119252
650	0.2968398137
651	0.2967791474
652	0.2967426679
653	0.2966779139
654	0.2965886667
655	0.2965886207
656	0.296523874
657	0.2964262237
658	0.2963691577
659	0.2963340926
660	0.2963097906
661	0.2962471954
662	0.2961800834
663	0.2961408125
664	0.2960927508
665	0.296053551
666	0.2960116693
667	0.2959651209
668	0.2958901349
669	0.2957619516
670	0.2957239266
671	0.2956949602
672	0.2956427709
673	0.2955909043
674	0.2955374864
675	0.2954982475
676	0.2954621089
677	0.2954169819
678	0.2953848486
679	0.2953570325
680	0.2953488119
681	0.295279374
682	0.2952535506
683	0.2951839739
684	0.2951805965
685	0.2951264738
686	0.2950828921
687	0.2950457254
688	0.2950087312
689	0.2949731752
690	0.2949371099
691	0.2948224781
692	0.2947559599
693	0.2947319868
694	0.2947069509
695	0.2946729784
696	0.2946687821
697	0.2946165539
698	0.2945952619
699	0.2945620901
700	0.2944881569
701	0.2944617412
702	0.29438258
