iter	Passed	Remaining
0	31	31446
1	58	29007
2	88	29519
3	118	29494
4	149	29803
5	178	29643
6	203	28862
7	230	28628
8	258	28493
9	285	28257
10	307	27643
11	347	28573
12	376	28587
13	414	29166
14	453	29774
15	491	30226
16	547	31638
17	567	30969
18	597	30835
19	635	31144
20	665	31025
21	695	30914
22	728	30938
23	776	31560
24	816	31840
25	845	31658
26	872	31434
27	899	31215
28	912	30547
29	941	30451
30	977	30548
31	1019	30828
32	1064	31205
33	1094	31101
34	1124	31006
35	1151	30843
36	1187	30918
37	1217	30819
38	1245	30693
39	1274	30584
40	1300	30426
41	1327	30290
42	1354	30152
43	1382	30033
44	1405	29829
45	1434	29747
46	1462	29652
47	1489	29543
48	1516	29441
49	1558	29616
50	1602	29814
51	1619	29521
52	1640	29305
53	1667	29211
54	1694	29122
55	1719	28990
56	1747	28918
57	1768	28724
58	1796	28653
59	1823	28571
60	1850	28482
61	1877	28400
62	1904	28330
63	1915	28011
64	1941	27932
65	1970	27884
66	1998	27830
67	2026	27771
68	2058	27775
69	2085	27712
70	2113	27649
71	2140	27589
72	2167	27522
73	2193	27449
74	2220	27380
75	2248	27342
76	2279	27320
77	2311	27322
78	2338	27268
79	2366	27210
80	2393	27156
81	2420	27098
82	2447	27036
83	2474	26982
84	2501	26925
85	2533	26925
86	2573	27011
87	2608	27034
88	2619	26814
89	2658	26884
90	2693	26908
91	2725	26894
92	2753	26857
93	2784	26838
94	2813	26800
95	2845	26793
96	2885	26862
97	2924	26915
98	2962	26966
99	3018	27163
100	3077	27392
101	3110	27384
102	3143	27372
103	3176	27364
104	3203	27306
105	3229	27241
106	3259	27202
107	3286	27147
108	3315	27099
109	3342	27043
110	3371	27004
111	3403	26985
112	3438	26993
113	3473	26995
114	3502	26951
115	3531	26911
116	3561	26879
117	3598	26900
118	3644	26980
119	3677	26971
120	3705	26915
121	3733	26870
122	3766	26854
123	3797	26828
124	3831	26823
125	3873	26865
126	3901	26816
127	3929	26770
128	3956	26714
129	3983	26659
130	4012	26616
131	4046	26608
132	4075	26569
133	4104	26528
134	4132	26476
135	4161	26437
136	4188	26381
137	4207	26282
138	4234	26229
139	4261	26177
140	4276	26051
141	4282	25876
142	4309	25827
143	4320	25683
144	4350	25654
145	4378	25610
146	4405	25561
147	4432	25515
148	4459	25470
149	4486	25421
150	4520	25414
151	4549	25380
152	4601	25472
153	4643	25509
154	4676	25493
155	4715	25510
156	4760	25562
157	4789	25524
158	4818	25486
159	4834	25381
160	4868	25368
161	4898	25337
162	4931	25325
163	4966	25315
164	5008	25347
165	5029	25267
166	5057	25228
167	5085	25183
168	5112	25137
169	5131	25055
170	5160	25018
171	5191	24989
172	5226	24984
173	5273	25035
174	5313	25049
