iter	Logloss
0	0.6847537956
1	0.6768563422
2	0.6685569046
3	0.6622938644
4	0.6546625114
5	0.6482842733
6	0.6421320136
7	0.6353371188
8	0.6289581095
9	0.6220796553
10	0.6160704481
11	0.6094052303
12	0.6041000497
13	0.5986760625
14	0.592637554
15	0.5861130366
16	0.5804063771
17	0.5750896547
18	0.5693605266
19	0.5639950176
20	0.5596135624
21	0.554531971
22	0.5494129212
23	0.5456952169
24	0.5411743567
25	0.5370858162
26	0.5326891163
27	0.5286444624
28	0.5247793817
29	0.5205679672
30	0.5160607145
31	0.5118879164
32	0.5083583227
33	0.5041005312
34	0.5003719579
35	0.4963451854
36	0.493021935
37	0.489868737
38	0.4871462566
39	0.4843682832
40	0.4810162415
41	0.4784112407
42	0.4756725052
43	0.4731738921
44	0.4707456285
45	0.4681229509
46	0.4651828943
47	0.4626402959
48	0.4604270513
49	0.4584301915
50	0.4556845159
51	0.4527251282
52	0.4504029351
53	0.4478414588
54	0.445628748
55	0.4440785127
56	0.441902036
57	0.4398333839
58	0.4375945917
59	0.4360524245
60	0.4342679874
61	0.432328282
62	0.4310636579
63	0.4288138054
64	0.4270786692
65	0.4253098454
66	0.4238526069
67	0.4217773891
68	0.4202437351
69	0.4185837177
70	0.4170936695
71	0.4156079531
72	0.4137254168
73	0.4131612179
74	0.4121187427
75	0.4107425621
76	0.4092029248
77	0.4078864048
78	0.4067527786
79	0.4051176961
80	0.4040054375
81	0.4028469955
82	0.4016674204
83	0.4006586947
84	0.3996053321
85	0.3985985388
86	0.3975914762
87	0.396130591
88	0.3952024484
89	0.3940778317
90	0.3929865076
91	0.3920294337
92	0.3911491211
93	0.3906315921
94	0.3896912739
95	0.3884845447
96	0.387578161
97	0.3866238196
98	0.3854186833
99	0.3841441251
100	0.3831185325
101	0.3823229583
102	0.3814640262
103	0.3808288835
104	0.3800783424
105	0.3793955894
106	0.3785783468
107	0.378054634
108	0.3771709022
109	0.3765431707
110	0.3759354689
111	0.3753977517
112	0.3748114132
113	0.3738358248
114	0.3732554559
115	0.3728415865
116	0.3724745336
117	0.3717617772
118	0.3710323211
119	0.3702933078
120	0.3696753468
121	0.3693370607
122	0.3684700361
123	0.3676895508
124	0.3672347392
125	0.3666274657
126	0.3660743448
127	0.3656470829
128	0.3650301056
129	0.364552813
130	0.363966465
131	0.3633009048
132	0.3628938326
133	0.3624335216
134	0.3618934603
135	0.3614370844
136	0.3608721222
137	0.360236869
138	0.3597265884
139	0.359373438
140	0.358982856
141	0.3586052377
142	0.3582521402
143	0.3579154545
144	0.3576173198
145	0.3571423814
146	0.3566810161
147	0.356250145
148	0.3558981141
149	0.3554355719
150	0.3550136773
151	0.3547290721
152	0.3543749453
153	0.354173375
154	0.3539745647
155	0.3537845486
156	0.3534743211
157	0.3530977663
158	0.3526207665
159	0.3521665115
160	0.3517512859
161	0.3511348238
162	0.3507942414
163	0.3504098114
164	0.3501309951
165	0.3500518406
166	0.3499464456
167	0.3496498422
168	0.3493553764
169	0.3489967322
170	0.3487406686
