iter	MAPE	RMSE
0	0.4711596385	11264.67796
1	0.4571356523	10945.9864
2	0.4428252484	10632.63461
3	0.430486718	10347.0404
4	0.4181911981	10077.04964
5	0.4054478511	9799.681793
6	0.3940606258	9548.36466
7	0.3826863768	9313.101981
8	0.3722263771	9081.12612
9	0.3612022524	8830.517859
10	0.3506296555	8593.689319
11	0.3403998954	8364.418897
12	0.3305244455	8144.762797
13	0.3211607255	7939.251919
14	0.3121621114	7741.289041
15	0.3033635331	7552.360394
16	0.2953354331	7375.087798
17	0.2875331674	7207.190855
18	0.2798933753	7044.223754
19	0.2724180167	6890.765951
20	0.2653494007	6739.948589
21	0.2591254533	6602.694195
22	0.2531171101	6473.369693
23	0.2470521962	6348.515737
24	0.2414127591	6229.4808
25	0.2357576878	6114.534066
26	0.2302868309	6007.732871
27	0.2250172342	5902.819762
28	0.2198673504	5802.230048
29	0.2150041437	5704.502552
30	0.21016596	5607.028535
31	0.2058928849	5524.980799
32	0.2017417109	5442.872547
33	0.1979953446	5358.084339
34	0.194543595	5287.646752
35	0.1910494895	5211.896306
36	0.1878516334	5139.873255
37	0.1847599395	5075.613041
38	0.1816787653	5012.668389
39	0.1789185724	4954.784048
40	0.1761855823	4897.549849
41	0.17351707	4847.465921
42	0.1711150972	4783.639527
43	0.1682927115	4725.744707
44	0.1661233319	4678.598936
45	0.1642526762	4632.416323
46	0.1615457132	4587.20184
47	0.1590979077	4541.9145
48	0.1571462545	4498.267014
49	0.1550873396	4457.420823
50	0.1530796835	4420.263744
51	0.1512657594	4390.057317
52	0.1497375367	4355.804443
53	0.147715644	4314.248043
54	0.1460020217	4279.246173
55	0.1440950448	4241.646451
56	0.1424872	4209.928333
57	0.1409452596	4176.647629
58	0.1392014843	4148.328644
59	0.1376686448	4120.701415
60	0.1362918588	4092.637255
61	0.1349842063	4057.267462
62	0.1333119622	4025.871583
63	0.1323702988	3995.140878
64	0.1312882079	3965.480898
65	0.1298941114	3942.680699
66	0.1289167553	3917.536369
67	0.1278807302	3893.343289
68	0.126747369	3874.203895
69	0.1261003758	3848.168875
70	0.1249685471	3827.523224
71	0.1240224472	3804.04591
72	0.12346903	3785.192607
73	0.1226894138	3764.11264
74	0.1217087067	3747.576478
75	0.1208527328	3733.158729
76	0.1198034059	3711.305736
77	0.1190774414	3696.847502
78	0.1181880349	3683.860034
79	0.1176864885	3666.471616
80	0.1168086264	3654.577755
81	0.1161667706	3634.755344
82	0.1154039269	3623.90452
83	0.1146711374	3611.384314
84	0.1137737873	3597.703186
85	0.1130132155	3587.359833
86	0.1122459451	3568.359985
87	0.1116521197	3557.489229
88	0.1109897117	3544.608436
89	0.1102217265	3534.539079
90	0.1097078582	3524.446402
91	0.1093309844	3510.323454
92	0.1087994367	3498.837663
93	0.1082276175	3484.700338
94	0.1077366431	3475.819033
95	0.1071674114	3462.100412
96	0.1066225875	3452.76339
97	0.1062853908	3442.986587
98	0.1058311561	3438.187565
99	0.1055642967	3427.995402
100	0.1053797346	3422.46767
101	0.1048995417	3415.53966
102	0.1045755295	3405.801646
103	0.1041307551	3398.008434
104	0.103728673	3390.5393
105	0.1034089449	3385.99545
106	0.1030440391	3381.318991
107	0.1028486331	3372.585622
108	0.1025350866	3367.637747
109	0.1021893633	3361.453555
110	0.1017920172	3352.445993
111	0.1014730685	3347.017958
112	0.101130844	3336.31596
113	0.1009639211	3331.048481
114	0.1006639796	3326.797802
115	0.1005257734	3322.209011
116	0.1001147236	3315.750041
117	0.09969343345	3308.256788
118	0.09945196289	3305.024589
119	0.09916325887	3295.316572
120	0.0988766626	3290.162871
121	0.09855839943	3281.031805
122	0.09826649957	3274.144102
123	0.09811236246	3267.880777
124	0.0979323858	3261.803152
125	0.09761803174	3254.642113
126	0.09731673102	3249.098025
127	0.09708291219	3244.233748
128	0.09678714587	3239.692119
129	0.09649681968	3235.352485
130	0.09626190935	3232.275474
131	0.09596141456	3226.061243
132	0.09578746015	3218.139855
133	0.09555351606	3215.118541
134	0.09538071678	3207.717121
135	0.09523107496	3202.330578
136	0.09498301697	3196.087685
137	0.09485286871	3191.03342
138	0.09467129265	3187.398296
139	0.0943830054	3181.481562
140	0.09410559568	3174.757677
141	0.09392382334	3165.957172
142	0.0936529715	3159.212755
143	0.09324877315	3152.496606
144	0.09305931958	3147.98799
145	0.09285210255	3144.011559
146	0.09254562111	3139.070425
147	0.0924301166	3136.004438
148	0.09231363563	3130.258749
149	0.09213501448	3122.864566
150	0.09188212918	3116.931841
151	0.09173614943	3113.796062
152	0.09156276324	3111.365498
153	0.09135216622	3108.161998
154	0.09123368786	3103.180392
155	0.09095858545	3098.456866
156	0.09075333146	3095.974223
157	0.09063415697	3093.201788
158	0.09050264869	3090.780468
159	0.0902818095	3086.420925
160	0.09021456922	3082.757157
161	0.09009150122	3080.039787
162	0.08994368081	3077.047119
163	0.08983798538	3076.097044
164	0.08970459203	3072.742773
165	0.08963333187	3069.218189
166	0.0894666453	3065.6886
167	0.08936545874	3065.144805
168	0.08928127087	3063.347434
169	0.0891329029	3058.939587
170	0.08897621973	3055.601924
171	0.08883014602	3051.985924
172	0.08878821159	3050.537287
173	0.08876727516	3048.925466
174	0.08855658186	3046.431632
175	0.08828452545	3040.313183
176	0.08805219901	3035.493848
177	0.08794131371	3033.608472
178	0.08772474766	3029.911674
179	0.08747283664	3026.133067
180	0.08736846655	3022.202091
181	0.08720820752	3016.918929
182	0.08702684618	3011.972461
183	0.08695047154	3009.608102
184	0.08679528641	3006.313144
185	0.08674969958	3003.944676
186	0.08667812263	3001.442524
187	0.08658002643	2999.208273
188	0.08639409915	2995.370482
