iter	Passed	Remaining
401	14045	20893
402	14079	20856
403	14111	20817
404	14144	20780
405	14179	20745
406	14212	20707
407	14256	20685
408	14289	20648
409	14323	20611
410	14357	20575
411	14391	20538
412	14425	20502
413	14459	20466
414	14492	20428
415	14525	20391
416	14558	20354
417	14592	20317
418	14630	20287
419	14671	20260
420	14713	20235
421	14749	20202
422	14790	20175
423	14823	20137
424	14857	20101
425	14889	20062
426	14922	20025
427	14961	19995
428	14995	19958
429	15028	19922
430	15063	19886
431	15097	19850
432	15131	19814
433	15165	19777
434	15198	19740
435	15233	19705
436	15267	19669
437	15301	19633
438	15334	19596
439	15368	19560
440	15401	19523
441	15435	19486
442	15469	19450
443	15503	19413
444	15537	19378
445	15571	19342
446	15605	19306
447	15642	19273
448	15676	19238
449	15710	19201
450	15743	19164
451	15777	19128
452	15813	19094
453	15851	19063
454	15888	19031
455	15925	18998
456	15969	18974
457	16003	18939
458	16037	18902
459	16071	18866
460	16104	18829
461	16136	18791
462	16171	18756
463	16204	18719
464	16239	18683
465	16272	18646
466	16305	18609
467	16339	18573
468	16372	18536
469	16405	18499
470	16438	18463
471	16472	18426
472	16505	18390
473	16538	18352
474	16571	18316
475	16609	18284
476	16645	18250
477	16679	18214
478	16712	18178
479	16746	18142
480	16780	18106
481	16813	18069
482	16847	18033
483	16880	17996
484	16914	17960
485	16950	17927
486	16984	17890
487	17024	17862
488	17061	17829
489	17095	17793
490	17128	17756
491	17161	17719
492	17194	17682
493	17226	17645
494	17260	17609
495	17294	17573
496	17328	17537
497	17361	17501
498	17395	17465
499	17429	17429
500	17466	17396
501	17500	17360
502	17533	17324
503	17566	17288
504	17600	17251
505	17637	17218
506	17676	17188
507	17715	17157
508	17749	17121
509	17782	17084
510	17815	17048
511	17848	17011
512	17881	16975
513	17918	16942
514	17955	16909
515	17989	16873
516	18023	16837
517	18057	16802
518	18091	16766
519	18125	16731
520	18158	16694
521	18192	16659
522	18226	16623
523	18259	16587
524	18293	16551
525	18327	16515
526	18361	16479
527	18394	16443
528	18428	16407
529	18461	16371
530	18496	16336
531	18529	16300
532	18563	16265
533	18597	16229
534	18630	16193
535	18667	16160
536	18701	16123
537	18734	16088
538	18769	16052
539	18803	16017
540	18838	15982
541	18872	15947
542	18909	15914
543	18944	15880
544	18979	15845
545	19011	15808
546	19045	15772
547	19079	15737
548	19113	15701
549	19147	15666
550	19180	15630
551	19213	15593
552	19246	15557
553	19279	15521
554	19313	15485
555	19348	15450
556	19381	15414
557	19415	15379
558	19448	15343
559	19482	15307
560	19515	15271
561	19549	15235
562	19582	15199
563	19616	15164
564	19654	15131
565	19687	15096
566	19720	15059
567	19753	15023
568	19786	14987
569	19820	14952
570	19854	14916
571	19887	14880
572	19926	14848
573	19960	14813
574	19993	14778
