iter	MultiClass
162	0.2300470072
163	0.2282611462
164	0.2266504707
165	0.2250360995
166	0.2235692558
167	0.2221610375
168	0.2205238103
169	0.2188834391
170	0.2174424666
171	0.2156891744
172	0.2141827947
173	0.212598548
174	0.2110320273
175	0.2094016159
176	0.2078056806
177	0.2061941836
178	0.2048767929
179	0.203384522
180	0.2017982219
181	0.2004815211
182	0.199143469
183	0.1976588819
184	0.1963544823
185	0.1949171258
186	0.1935322942
187	0.1922358615
188	0.1906455926
189	0.1891823346
190	0.1880234176
191	0.1865161865
192	0.1853496147
193	0.1840529255
194	0.1828045753
195	0.1817019597
196	0.1804496965
197	0.1792666475
198	0.1780283283
199	0.1768776447
200	0.1756864855
201	0.1745388236
202	0.1733831936
203	0.1721986625
204	0.1710447397
205	0.1696960954
206	0.1687699799
207	0.1675972982
208	0.166397008
209	0.1651871532
210	0.1639358193
211	0.1626523525
212	0.1617957148
213	0.1607457695
214	0.1596634945
215	0.158521225
216	0.1575302814
217	0.1564954744
218	0.1555517208
219	0.1545157286
220	0.1534810122
221	0.1524198319
222	0.1514497061
223	0.1505263695
224	0.1496266319
225	0.1486152339
226	0.1476296448
227	0.1465345059
228	0.1455158759
229	0.1445183668
230	0.1435327908
231	0.1427503641
232	0.1417587457
233	0.1407239107
234	0.139817345
235	0.1391291101
236	0.1382854448
237	0.1373985956
238	0.1363434364
239	0.1354267017
240	0.1345231518
241	0.1336501325
242	0.1329290445
243	0.1320555685
244	0.1311339176
245	0.1303901061
246	0.1295709295
247	0.1287866297
248	0.1280551598
249	0.1272397666
250	0.1264959504
251	0.1255591005
252	0.1248316498
253	0.1241030315
254	0.1232907486
255	0.1225516553
256	0.1217685444
257	0.1210776404
258	0.120351182
259	0.1196061037
260	0.1189943286
261	0.1182304078
262	0.1173973185
263	0.1166465188
264	0.115875495
265	0.115142957
266	0.1144608614
267	0.1136942794
268	0.1130202262
269	0.112290032
270	0.1116452481
271	0.1110019467
272	0.110282252
273	0.1095234905
274	0.1088763125
275	0.1082277729
276	0.1076896615
277	0.1070239468
278	0.1064521573
279	0.1057983113
280	0.1051373596
281	0.1044802999
282	0.1038212112
283	0.1033037431
284	0.102672379
285	0.1021777666
286	0.1016723277
287	0.1011777211
288	0.1005972162
289	0.1000809617
290	0.09955622335
291	0.09900549793
292	0.09850384507
293	0.09804376848
294	0.09744754506
295	0.09683701244
296	0.09633759323
297	0.09576279113
298	0.09521155459
299	0.09473827965
300	0.0942725471
301	0.09374947417
302	0.09330372815
303	0.09277826038
304	0.09218419623
305	0.09165980245
306	0.09120444484
307	0.09069136509
308	0.09017670752
309	0.08974495085
310	0.08923254601
311	0.08870251624
312	0.08817092786
313	0.08766086211
314	0.08718858134
315	0.08678032801
316	0.08628954879
317	0.08582183927
318	0.08535445682
319	0.08482440915
320	0.08438751433
321	0.08405589336
322	0.0835476304
323	0.08319709193
324	0.0828870752
325	0.08242055725
326	0.08199639276
327	0.08157319596
328	0.08123821728
329	0.08084291646
330	0.08037096613
331	0.08001549289
332	0.07960893577
333	0.079061155
334	0.0785811612
335	0.07823417975
336	0.07780756303
337	0.07735545341
338	0.07699090637
339	0.07659807618
340	0.07617577571
341	0.0758196854
342	0.07542392335
343	0.07503092437
344	0.07467205791
345	0.07427076133
346	0.07397637476
347	0.07361200492
348	0.07323231256
349	0.07293309459
350	0.07251102521
351	0.07217646231
352	0.07177911011
353	0.07145042565
354	0.07107270751
355	0.0706142935
356	0.07035152363
357	0.06996372606
358	0.06967488299
359	0.06930096381
360	0.06897273164
361	0.06863510306
362	0.06827787168
363	0.06794554913
364	0.0677065478
365	0.06736153479
366	0.06698252534
367	0.06664633977
368	0.06637896582
369	0.06603949925
370	0.06564714015
371	0.06533489711
372	0.06503873314
373	0.06479296014
374	0.06452875622
375	0.06420822109
376	0.0638169386
377	0.06356341504
378	0.06326965057
379	0.0629813583
380	0.06275898028
381	0.06246113888
382	0.06215850534
383	0.06190472074
384	0.06164955206
385	0.06134725416
386	0.06104559259
387	0.0607778297
388	0.06049929801
389	0.06024480491
390	0.06002084013
391	0.05973392236
392	0.05940318148
393	0.05911257615
394	0.05883903119
395	0.05862582034
396	0.05845381541
397	0.05806110948
398	0.05781658076
399	0.05752380526
400	0.05714136257
401	0.05683366445
402	0.05656253795
403	0.05633272092
404	0.05605391138
405	0.05582775892
406	0.05559813333
407	0.0553469973
408	0.05507236037
409	0.05484172468
410	0.05461847088
411	0.05431643309
412	0.05403092987
413	0.05377924353
414	0.05353785015
415	0.05337421457
416	0.05313627984
417	0.05292422662
418	0.05272608235
419	0.05254063255
420	0.05229834674
421	0.05208561363
422	0.05188364817
423	0.05167441733
424	0.05141611177
425	0.05118818627
426	0.05092656424
427	0.05075898564
428	0.05053928766
429	0.05032255303
430	0.05013029081
431	0.0499558032
432	0.0497394768
433	0.04957756302
434	0.04938780765
435	0.04923172331
436	0.04901876221
437	0.04880328889
438	0.04858917995
439	0.04840610729
440	0.04821005851
441	0.04801300929
442	0.04784754359
443	0.04768041588
444	0.04754559508
445	0.04740143714
446	0.04719553656
447	0.04698420646
448	0.04678467694
449	0.04660550348
450	0.04642816637
451	0.04624860249
452	0.04610328611
453	0.04589558405
454	0.0457178932
455	0.0455572647
456	0.04540699164
457	0.04528067801
458	0.0450794088
459	0.04484991899
460	0.04469629021
461	0.04452073474
462	0.04437545672
463	0.04422128839
464	0.04404324757
465	0.04386393422
466	0.04371763336
467	0.04351076111
468	0.04333001604
469	0.04317648519
470	0.04299191293
471	0.04282734304
472	0.04263054334
473	0.04247048379
474	0.04230523979
475	0.04216753663
476	0.04203649149
477	0.04186987123
478	0.0417196469
479	0.04156984606
480	0.04143100532
481	0.04128517131
482	0.04117412367
483	0.04101411831
484	0.04086799879
485	0.04070726432
486	0.0405946103
487	0.04046321281
488	0.0403261301
489	0.04018209349
490	0.04003361183
491	0.03986109173
492	0.03969681898
493	0.03954707658
494	0.03944116397
495	0.03929362473
496	0.03916681312
497	0.03905554084
498	0.03893829612
499	0.03881246388
500	0.03865367641
501	0.03854118649
502	0.03840882092
503	0.0382833385
504	0.03812778547
505	0.03798416559
506	0.03784078577
507	0.03774528183
508	0.03763460982
509	0.03750328043
510	0.03735048725
511	0.03722947632
512	0.03705169909
513	0.03691555775
514	0.03678866009
515	0.03664283971
516	0.03653412738
517	0.0364441857
518	0.03627812248
519	0.03617615087
520	0.03605298344
521	0.03592385974
522	0.03578763843
523	0.0356525243
524	0.03550348101
525	0.03538887864
526	0.0352787031
527	0.03518654511
528	0.03500183064
529	0.03487808398
530	0.03479811103
531	0.03464770713
532	0.03453514393
533	0.0344118289
534	0.03431896044
535	0.03418917223
536	0.03404138648
537	0.03395851414
538	0.03381713221
539	0.0337217204
540	0.03362022175
541	0.03345986098
542	0.03332508724
543	0.03322960885
544	0.03310041164
545	0.03300392872
546	0.03289019904
547	0.03277051028
548	0.03267846723
549	0.03257639407
550	0.03247624862
551	0.03237243399
552	0.03227096351
553	0.03214653933
554	0.03207531545
555	0.03197293308
556	0.03187297773
557	0.03178179864
558	0.03170363768
559	0.03159539754
560	0.03147592616
561	0.03136212658
562	0.03128497243
563	0.03118832417
564	0.03110033514
565	0.0310120345
566	0.0309275407
567	0.03083614604
568	0.03072321107
569	0.03062387201
570	0.03055713399
571	0.03044868882
572	0.03038396336
573	0.03030308195
574	0.030213977
575	0.03012333906
576	0.03004035625
577	0.02996431186
578	0.02989690709
579	0.02980199347
580	0.02973102989
581	0.02966248705
582	0.02959662917
583	0.02952214755
584	0.02943503513
585	0.02935255325
586	0.02923487037
587	0.02914811158
588	0.02907329547
589	0.02895245682
590	0.02884717459
591	0.02877437633
592	0.02870301977
593	0.02860974244
594	0.02852885964
595	0.0284332827
596	0.02831720254
597	0.02821323304
598	0.02810394967
599	0.02800765442
600	0.02794396688
601	0.02787430285
602	0.02777591087
603	0.02770218689
604	0.02764159528
605	0.02756175258
606	0.02748291449
607	0.02738800131
608	0.02734289391
609	0.02726786298
610	0.02719354514
611	0.02711480134
612	0.02701921016
613	0.02693298695
614	0.02686379507
615	0.02678277116
616	0.02670945401
617	0.02664871344
618	0.02656453736
619	0.02650011997
620	0.02641587464
621	0.02635598934
622	0.02629266664
623	0.02621794057
624	0.02616320425
625	0.02609569589
626	0.02601939041
627	0.02593869759
628	0.02587273088
629	0.02577307037
630	0.02570338877
631	0.02561300897
632	0.02554014548
633	0.02548104996
634	0.02542004193
635	0.02535525164
636	0.02528066153
637	0.02515533342
638	0.02508708792
639	0.02502289021
640	0.02493902632
641	0.0248621078
642	0.02479831438
643	0.02470171789
644	0.02462984921
645	0.02454818681
646	0.02449671582
647	0.02441504884
648	0.02436265132
649	0.02428096828
650	0.02420872063
651	0.02414603146
652	0.02408715747
653	0.02401461491
654	0.02395669595
655	0.02390421668
656	0.02383171518
657	0.02375538187
658	0.02369358385
659	0.02362166555
660	0.02355337399
661	0.02349165035
662	0.02341743084
663	0.02335619105
664	0.02326020504
665	0.02320274096
666	0.02314053693
667	0.0230716146
668	0.02301824479
669	0.0229569194
670	0.02291145185
671	0.02284420354
672	0.02279700621
673	0.02274324976
674	0.02268871513
675	0.02261988724
676	0.02256080422
677	0.02251848984
678	0.02245946938
679	0.02239032203
680	0.02233129856
681	0.02228615855
682	0.02222251092
683	0.0221768115
684	0.02213035335
685	0.02206452005
686	0.02200734472
687	0.02196146308
688	0.02189418308
689	0.02183507823
690	0.02179774064
691	0.02174765477
692	0.02167462485
693	0.02161600295
694	0.02157416013
695	0.02151357334
696	0.02145371303
697	0.0214041923
698	0.02135361332
699	0.02129314137
700	0.02123258336
701	0.02118914893
702	0.02113849247
703	0.02107652358
704	0.02101720354
705	0.02097274256
706	0.02092854784
707	0.0208610661
708	0.02081514329
709	0.02077130131
710	0.02072509034
711	0.0206671244
712	0.02062118534
713	0.02057901123
714	0.02053538591
715	0.02048623941
716	0.02042558601
717	0.02037886136
718	0.02032851509
719	0.02029348563
720	0.02024604278
721	0.0201931777
722	0.02015498144
723	0.02010345255
724	0.02005673722
725	0.02000873731
726	0.0199646722
727	0.01992558539
728	0.01988764382
729	0.0198373747
730	0.01979837718
731	0.01973216915
732	0.01969497417
733	0.01965741258
734	0.01961051696
735	0.01956751657
736	0.01952497832
737	0.01947922944
738	0.01943901252
739	0.01938529196
740	0.01934630508
741	0.01930073508
742	0.01925914651
743	0.01921002611
744	0.01917126605
745	0.0191235609
746	0.01908402643
747	0.01904255209
748	0.01898713873
749	0.01895110521
750	0.01891995925
751	0.01887809162
752	0.01884501798
753	0.01880292558
754	0.01874889449
755	0.01871032189
756	0.01867286048
757	0.01863457679
758	0.01859542255
759	0.01854146068
760	0.0184945003
761	0.01844670884
762	0.01841349061
763	0.01837980712
764	0.01834277818
765	0.01830514096
766	0.01826061918
767	0.01821695139
768	0.0181822789
769	0.01813056417
770	0.01808220495
771	0.01804993573
772	0.01800250154
773	0.01796495365
774	0.01792991822
775	0.01789985305
776	0.01785368067
777	0.01781205266
778	0.01777536097
779	0.01774368321
780	0.01770701959
781	0.01767108566
782	0.01764310069
783	0.01761196345
784	0.01757953127
785	0.01754145298
786	0.01750238077
787	0.01746091304
788	0.01742390706
789	0.01739470608
790	0.01735673664
791	0.0173200437
792	0.01727518387
793	0.01723971804
794	0.0172086249
795	0.01717423018
796	0.0171463764
797	0.01711188065
798	0.01708216201
799	0.01704480512
800	0.01700511627
801	0.01696619519
802	0.01692964931
803	0.01688638672
804	0.01684624466
805	0.01680483219
806	0.01677404636
807	0.01674036611
808	0.01670008674
809	0.01666159152
810	0.01662836339
811	0.01659287203
812	0.01656304246
813	0.01653065551
814	0.01650093081
815	0.01645226632
816	0.01642000805
817	0.0163884199
818	0.01635882843
819	0.01632421339
820	0.01629816706
821	0.01626914605
822	0.01623748584
823	0.01621233612
824	0.01618538501
825	0.01615590139
826	0.01611845901
827	0.01609706492
828	0.01606647115
829	0.01603191093
830	0.01599699485
831	0.01596399432
832	0.01593084007
833	0.01590135092
834	0.01587335086
835	0.01584314577
836	0.01581044643
837	0.01577566051
838	0.01575246764
839	0.01572102643
840	0.01568572996
841	0.01565469708
842	0.01562680459
843	0.01560181526
844	0.01557289475
845	0.01554501345
846	0.01551527104
847	0.01548693181
848	0.01545854973
849	0.01543430171
850	0.01540115126
851	0.01537598942
852	0.01534754617
853	0.01532446397
854	0.01529372375
855	0.01526107172
856	0.01523617846
857	0.01520618849
858	0.01517877458
859	0.01514371127
860	0.01511386045
861	0.01509190233
862	0.01506192101
863	0.01503098952
864	0.01500523906
865	0.0149781772
866	0.01495277776
867	0.01492396542
868	0.01490157608
869	0.01487355301
870	0.01485426443
871	0.01482967339
872	0.01480604647
873	0.01478385382
874	0.0147600355
875	0.01473628545
876	0.01471198671
877	0.01468657265
878	0.01466168765
879	0.01462133233
880	0.01458440642
881	0.01455847955
882	0.01452661786
883	0.01450083234
884	0.01447392088
885	0.01443322194
886	0.01440840135
887	0.01438665381
888	0.01436070036
889	0.0143353949
890	0.01431333982
891	0.0142857111
892	0.01426169218
893	0.01423488582
894	0.01420738218
895	0.01417931521
896	0.01415524777
897	0.01413325785
898	0.01411303607
899	0.01408868703
900	0.01406701876
901	0.01404326782
902	0.01401636643
903	0.01399182004
904	0.013967487
905	0.01394231292
906	0.01392320432
907	0.01390086608
908	0.0138827009
909	0.01386078879
910	0.01384020934
911	0.01381334548
912	0.01379230216
913	0.01377149801
914	0.01374889915
915	0.01373062088
916	0.01370928734
917	0.01369114295
918	0.01366263533
919	0.01364210984
920	0.01361590452
921	0.01358877387
922	0.01356815393
923	0.01354703416
924	0.0135266119
925	0.01350948647
926	0.01348686043
927	0.01346801693
928	0.01344516759
929	0.01342323288
930	0.0133879787
931	0.01336723666
932	0.01334672533
933	0.01332726337
934	0.0133009135
935	0.01327805161
936	0.0132598343
937	0.01323143534
938	0.01320781667
939	0.01319038389
940	0.01317193463
941	0.01314760218
942	0.01313010524
943	0.01311012374
944	0.01308845787
945	0.01306591134
946	0.01304798379
947	0.01302734256
948	0.01300146041
949	0.01297915748
950	0.01295702508
951	0.01293313038
952	0.01291092292
953	0.01289113155
954	0.01287434524
955	0.01285435573
956	0.0128359529
957	0.01281764885
958	0.01279796739
959	0.01277880415
960	0.01276120745
961	0.01273720809
962	0.01271330108
963	0.01269324891
964	0.01266940949
965	0.01265233106
966	0.01263529236
967	0.01261793832
968	0.0125990262
969	0.01257762653
970	0.0125595076
971	0.01253570505
972	0.01251861948
973	0.01249963501
974	0.01248362112
975	0.01246254381
976	0.0124390226
977	0.01242111133
978	0.01240102017
979	0.01238054015
980	0.01236376518
981	0.01234296756
982	0.01232422037
983	0.01230149614
984	0.01228583822
985	0.01226052628
986	0.01224080017
987	0.01222293275
988	0.01220064636
989	0.01217911721
990	0.01216472097
991	0.01214928135
992	0.01213241074
993	0.01211692965
994	0.01209550964
995	0.01208015861
996	0.01206163089
997	0.01204731888
998	0.01203339499
999	0.01201785399
