iter	Logloss
0	0.6535332711
1	0.6196078956
2	0.5895704753
3	0.5674851735
4	0.5436457447
5	0.525051378
6	0.5060482606
7	0.4872020703
8	0.4747636409
9	0.4610976213
10	0.4502151056
11	0.4414684515
12	0.4334544941
13	0.4247843838
14	0.4156238777
15	0.4088568724
16	0.4033016827
17	0.3976966332
18	0.3931498533
19	0.3916243865
20	0.388220551
21	0.3852060048
22	0.3803476201
23	0.3759637992
24	0.3722476359
25	0.3691440474
26	0.3665780918
27	0.3660269657
28	0.3638087549
29	0.3616402436
30	0.3594390289
31	0.3567559799
32	0.3544970623
33	0.3524594029
34	0.3513530209
35	0.3498562383
36	0.348486563
37	0.3470022505
38	0.3451415766
39	0.344834701
40	0.3435650556
41	0.342837793
42	0.3423689497
43	0.3419146175
44	0.3408402421
45	0.3400897905
46	0.3389843348
47	0.3386016693
48	0.3378223683
49	0.3367952743
50	0.3361716485
51	0.3352097084
52	0.3342609414
53	0.3333086911
54	0.3326624707
55	0.3321280325
56	0.331176187
57	0.3303906967
58	0.3296911057
59	0.328918004
60	0.3281344464
61	0.3277171498
62	0.327018073
63	0.3266556563
64	0.3259516651
65	0.3254808852
66	0.3249398706
67	0.324380581
68	0.323808127
69	0.3235676018
70	0.3230312683
71	0.3223321378
72	0.321668691
73	0.3213350448
74	0.3206232459
75	0.3202486809
76	0.3199629692
77	0.3199626069
78	0.3198884462
79	0.3192060608
80	0.3187548322
81	0.3184935107
82	0.317933043
83	0.3175820851
84	0.3170444888
85	0.3166186307
86	0.3162458141
87	0.3159646275
88	0.3157202964
89	0.3151741936
90	0.3148091431
91	0.314779234
92	0.3142113103
93	0.3140705449
94	0.313853736
95	0.3135700323
96	0.3135121156
97	0.3133923721
98	0.3130943954
99	0.3126695862
100	0.3121250653
101	0.3116200039
102	0.3111920021
103	0.3108417762
104	0.3107809794
105	0.3103703425
106	0.310187602
107	0.3098588413
108	0.3097250113
109	0.3092334883
110	0.3088135638
111	0.3086264382
112	0.3084552467
113	0.3081226247
114	0.3078763482
115	0.3076071912
116	0.3073106893
117	0.3069063656
118	0.3066261532
119	0.3062108565
120	0.3057720361
121	0.3054488552
122	0.3049970922
123	0.3048947118
124	0.3045433534
125	0.3044790501
126	0.3040562005
127	0.3036836394
128	0.3032440361
129	0.3029384122
130	0.3024260974
131	0.302173105
132	0.3019406595
133	0.3017862114
134	0.3016371454
135	0.3012402888
136	0.3009300489
137	0.3004034638
138	0.3001841281
139	0.2998899837
140	0.2995160915
